ACE
"SS Corpro flight system","Whenever this mech moves or boosts, it can fly."
"Evasive Maneuvers","In response to being hit by any ranged or melee attack, the mech can perform a barrel roll, flying 6 in any direction and causes the attack to miss. This movement does not provoke reactions and ignores engagement. The Ace must decide to take this reaction before damage is rolled, but after it knows the final result of the attack roll (hit, critical hit etc)."
"Bombing Bay","When this mech moves or boosts and is flying, it can drop a bomb on one character below as a free action it that it passes over vertically or adjacent to. Bombs create a blast 1 area with at least 1 space on their target. All affected targets must pass an agility save or take 6/8/10 explosive damage and be knocked prone."
"Strafe","The Ace flies its speed in any direction in a strafing run, dealing 3/4/6 kinetic damage to any actor of its choice it passes over vertically or adjacent to (no roll required)."
"Missile Swarm","This weapon does not hit allied characters and deals double damage to characters suffering from the Lock On condition"
"Watchful","1/round, in response to any hostile character moving in line of sight, the Ace can make the boost action as a reaction after that movement completes."
"Chaff Launchers","The Ace’s Evasive Maneuvers also work on tech attacks. In addition, after it takes its Evasive Manuevers action, it counts as being in soft cover until the end of its next turn."
ASSASSIN
"Kai Bioplating","This mech gains +1 Accuracy on all agility checks and saves. It can climb with no penalty, ignores difficult and dangerous terrain, and can jump half its speed vertically and its entire speed horizontally, in any combination."
"Heated Blade","This weapon deals double damage to targets suffering from the prone, shut down, shredded, immobilized, or stunned conditions."
"Assassin's Mark","The Assassin chooses a character in line of sight. For the rest of this scene, it has resistance to all damage from that target, its attacks are AP against that target, and it gains +2 accuracy on all saves from effects originating from that target. It can only change its target if its current target is destroyed."
"Leap","The Assassin flies 6 spaces in any direction but must end its move on a surface. Characters adjacent to it when it lands must pass an agility save or be knocked prone."
"Sap","A character adjacent to the Assassin must pass an engineering save or become stunned until the end of its next turn."
"Spinning Kick","A target adjacent to the Assassin must pass a hull save or be knocked back 4 spaces away from the Assassin and knocked prone."
"Shroud Grenades","The Assassin creates a burst 3 zone of soft cover around itself. The zone disperses at the end of its next turn, or when the Assassin creates a new one. Characters other than Assassins cannot trace line of sight into or out of the zone (characters at least partly inside the zone can draw line of sight to each other normally)."
"Explosive Knives","A knife can be thrown at any character in range 3 as a quick action. Make a ranged attack roll for +2 vs evasion/tier, attaching on hit. At the end of the target’s next turn, the knife explodes, dealing 6/8/10 explosive damage in a burst 1 area centered on the knife or mech."
ASSAULT
"Brace","The Assault gains resistance to all the damage from one attack that just hit it."
"Micro-missile Barrage","All characters in a line 8 area drawn from the Assault must pass a hull save or take 6/8/10 kinetic damage, or half on a successful save."
"High Impact Rounds","The Heavy Assault rifle can be fired with high caliber rounds, adding +4 kinetic damage and the AP tag, but requiring a reload after firing it this way (as if it had the loading tag)."
"Auto-targeting","The Assault’s attacks ignore cover penalties (it must still obey line of sight)."
"Rank Discipline","The Assault gains +1 Accuracy on all its attacks, checks, and saves as long as it’s adjacent to at least one friendly mech."
BERSERKER
"Chain Axe","Critical hits from the Chain Axe cause targets damaged to become Shredded until the end of their next turn."
"Aggression","The first time the Berserker takes damage each round, it must immediately make a Chain Axe attack as a reaction against a randomly determined adjacent target (allied or enemy)."
"Charge","The Berserker moves its speed in a straight line, ignoring reactions and engagement, then makes a Chain Axe attack against a random character in range."
"Molten Shield","Once per round, the Berserker can activate this dispersal shield when it takes damage from any melee attack. The Berserker gains resistance to all the damage from the attack, and the attacker must pass an engineering save or take Burn 2/tier."
"Juggernaut","When the Berserker Charges, all characters (allied and enemy) it passes adjacent to during its Charge and all targets it ends adjacent to must pass a hull save or be knocked prone."
"Harpoon","Targets struck by this weapon the same size or smaller than the Berserker are pulled in a straight line adjacent to the Berserker or as far as possible. Otherwise, the Berserker is pulled towards the target. The Berserker then grapples the target automatically if it’s adjacent."
"Nail Gun","Targets struck by this weapon must pass an agility save or become immobilized until the end of their next turn."
"Retribution","When the Berserker takes damage, its next attack deals +2/3/4 bonus damage on hit. This effect stacks up to +8, but is lost after the Berserker makes any attack or at the end of the Berserker’s next turn."
BREACHER
"Dual Shotguns","The Breacher can attack twice with this weapon, choocking the same or different targets."
"BREACH Ram","The Breacher moves forward up to 6 spaces in a straight line as far as it can. It ignores engagement and can pass through, but not end its turn in, the space of other characters. Obstacles or objects such as cover in its path take 10 AP kinetic damage/tier. If an obstacle, wall, or piece of cover is destroyed, the Breacher passes through it and continues to pass through until it hits an obstacle it cannot destroy. All other characters passed through must pass an agility save or be pushed out of the Breacher’s path by the most direct route possible and knocked prone."
"Break Armor","A target struck more than twice by the Breacher’s Dual shotguns in the same turn becomes shredded for the rest of this scene."
"Bring the Pain","The Breacher chooses a character in range of its dual shotguns. It must be activated after the targeted character next round. At the start of the breacher’s next turn, if the target is still in range, the Breacher can attack that target twice with its dual shotguns (four times total) as a free action."
"Superior Ram","The Breacher’s BREACH Ram moves 10 spaces instead of 6 and characters hit make their agility save with 1 difficulty."
"Hunter Lock","On hit, all the Breacher’s attacks gain +1 accuracy/tier against that target, and 1/turn it can take the boost action as a Free Action, as long as it is made directly towards that target. The Breacher cannot change its target until it or the target is destroyed."
"Thermal Charge","Deals 3 Burn/tier. This weapon deals 10 AP kinetic damage/tier to walls, terrain, and deployables in the area."
"Flechette Shot","This attack creates a cone 3 area at its attack location, attacking all targets within."
SCOURER
"Focus Down","If the Scourer hit a character with the Thermal Lance that it already hit with the Thermal Lance in the previous turn, that character also takes burn 5/7/8."
"Cooling Module","If the scourer does not move (even involuntarily) between the end of its turn and start of its next turn, it reduces its heat to 0 at the start of its turn."
"Ablative Shielding","The Scourer has resistance to energy damage"
"Supercharged","When the Scourer’s Focus Down trait activates, it’s target is also Shredded and Slowed until the end of its next turn."
"Emergency Vent","When the Scourer Overheats or becomes Shut Down, it immediately becomes invisible until the start of its next turn."
"Pulse Laser","This weapon can attack twice at tier III"
"Flash Lense","The Scourer targets a cone 5 area in a direction of its choosing. All characters in the area must pass a systems save or be jammed until the start of the Scourer’s next turn."
"Melt","The Scourer targets an object or drone in range 10, then makes a ranged attack, dealing 20 AP energy damage on hit."
AEGIS
"Defense Net","This system spreads a powerful shimmering repulsion shield over a large area. While this system is active, this mech is immobilized, but all ranged, melee, or tech attacks against any character or object within a burst 3 zone around this mech originating outside of that zone take +2 Difficulty. Attacks out of the zone or between targets that are both inside of the zone are unaffected. It can be deactivated as a full action, and it automatically deactivates if the Aegis is stunned, jammed, or destroyed. If the Aegis is involuntarily moved (such as from knock back), the field does not deactivate, but moves with it."
"EM Shielding","The Aegis and allied characters inside it’s defense net are immune to the impaired condition, and any allied character that moves inside of the defense net can immediately end the impaired condition on itself."
"Adaptive Shielding","The first time a round an allied character to the Aegis inside the defense net is damaged, all allied characters inside gain resistance to the damage type of the triggering attack until the end of the Aegis’s next turn."
"Ring of Fire","All characters hostile to the Aegis that start their turn inside the Defense Net or enter it for the first time on their turns take 2 heat and become Shredded while inside the net (they can end this condition by leaving the net)."
"Guardian","Allied characters can use the Aegis for hard cover."
"Hardsoft Cover System","The Aegis creates a line 3 section of hardlight, which grants hard cover against incoming fire. Characters that benefit from this cover have resistance to damage from line, blast, and cone attacks. The cover is immune to damage."
"HA Blackwall System","The Aegis creates a pitch black wall of blinkspace that takes up a free line 10 zone 5 spaces high that must have at least one point within 5 spaces of the Aegis. The wall completely blocks line of sight between its two sides and no effect or attack can be drawn across it. Any character that starts its turn on the wall or crosses it for the first time on its turn has a 50% chance to be lost in blinkspace momentarily. If this occurs, remove the mech from play. It returns at the end of its next turn, in any free space chosen by that character within range 10 of either side of the wall. If there is no space available, it returns when there is. The wall disappears when the Aegis is destroyed or it uses an action to deactivate it, also returning any stranded mechs."
ARCHER
"Suppress","One target in range 10 and line of sight of the Archer is impaired. If it starts any movement, the archer can attack it once with any weapon as a reaction, but this effect ends after the archer attacks, hit or miss. The target can also immediately end this effect by damaging the archer. It also ends if the archer loses line of sight to its target, if the archer is stunned, jammed, or destroyed, if the archer chooses a new target, or ends this effect as a free action."
"Superior Sentinel","The Archer has +1 accuracy on all reaction fire (overwatch, etc)."
"Driving Fire","In response to any character in range 10 and line of sight starting any movement, the Archer can interrupt that movement. If the character continues to move, the Archer can immediately attack it as a reaction. The character can choose to cancel that move, losing the action or movement. If they do so, the Archer does not get to attack, but still spends its reaction."
"Covering Fire","The Archer chooses a blast 3 area within range 10 and line of sight. Until the end of its next turn, the Archer can immediately attack any character as a reaction that makes an attack in that zone."
"Blinding Shells","The Archer can force a target struck by its attacks to pass an engineering save or only have line of sight to adjacent spaces until the end of its next turn"
"Hail of Fire","A character in range 10 of the Archer becomes immobilized and impaired until the end of the Archer’s next turn. It can immediately end this effect if it allows the Archer to attack it as a reaction, the archer uses this trait again, or the archer is stunned, jammed, loses line of sight, or destroyed."
"Watchful","In response to any enemy movement, the Archer can make the boost action as a reaction after that movement completes."
BARRICADE
"Graviton Lance","On hit, the target is slowed until the end of its next turn."
"Mobile Printer","The barricade may print a 2x2x2 cube (size 2) of hard cover in any adjacent and free space. The cover has evasion 5 and 20 HP. The entire structure takes damage and is destroyed at once (not each individual section)."
"Shock Plating","The Barricade is resistant to kinetic damage."
"Bulwark Mods","The Barricade ignores difficult and dangerous terrain."
"Drag Drone","A target struck by this drone takes 2 AP energy damage for each 1 space that it voluntarily moves until the end of its next turn. The target is aware of this effect."
"Seismic Repulsor","All non-flying characters within a burst 3 area centered on the Barricade must pass a hull save or be knocked back 3 spaces directly away from the barricade and knocked prone. The area in the blast then becomes difficult terrain until the end of the current scene."
"Rapid Extruder","he Barricade can print twice as fast (can print two sections of cover at once)."
"Mag Mines","The Barricade rapidly prints and deploys a field of tiny mines in a free adjacent space that seek out characters and clamp on to them in droves, slowing them down and inhibiting movement. The mines take up a size 4 cube. The area is difficulty terrain, and any character other than the Barricade or its allies that enters the area or starts its turn there must pass a systems save or become Slowed until the end of its next turn."
"Snare Drone","The Barricade rapidly prints and deploys a snare drone in a free adjacent space. This drone is size 1/2, has 10/12/14 evasion and e-defense and 5 HP/tier. When any hostile mech moves within range 3 of the drone or starts its turn in range of the drone, it emits a pulse, immediately immobilizing that mech until the drone is destroyed (no save allowed)."
BASTION
"Shieldwall","As long as it’s holding its shield, the Bastion and one adjacent mech of its choice has resistance to all damage from a target of its choosing that it can see. It can only change this target at the start of its turn, and its target loses resistance if it breaks adjacency for any reason."
"Guardian","Adjacent allies can use the Bastion for hard cover."
"Shard Launcher","Before any character attacks the Bastion from within range 3, it takes 1/2/3 AP explosive damage."
"Siege Guardian","Allies adjacent to the Bastion have resistance to damage from blast, line, and cone attacks."
"Immortality","The Bastion and one adjacent mech of its choice are immune to all damage and effects until the start of the Bastion’s next turn, guarded by a flickering pane of Blackshield tech. The mech adjacent to the Bastion loses this benefit if it breaks adjacency. On the start of the Bastion’s next turn, it is stunned until the start of its following turn."
"Defender","When an allied mech is damaged, if the mech is range 5 of the Bastion and the bastion is not immobilized, it can immediately move adjacent to that mech and take that damage instead of the targeted mech."
"Hypo-reinforcement Servos","The Bastion reduces all the damage from the very first attack it takes a round to 0. This effect refreshes at the start of its turn."
BOMBARD
"Cluster Munitions","The Bombard’s attacks deal +2/3/4 bonus damage to all characters caught in their area per target past the first that they catch in their blast."
